EV_Type,Program,Scenario,Year,Customer_Type,beta_no_install,beta_install_required
LDV,DLC,flat,2025,new,0.009271454778308904,0.001545242463051484
LDV,DLC,flat,2030,new,0.013734325804593099,0.0022890543007655167
LDV,DLC,flat,2035,new,0.019487967253628717,0.0032479945422714527
LDV,DLC,flat,2040,new,0.027597269415792006,0.004599544902632001
LDV,DLC,flat,2045,new,0.04146021302699092,0.0069100355044984865
LDV,DLC,flat,2050,new,0.12859438956078273,0.021432398260130457
LDV,DLC,high,2025,new,0.016533571463689358,0.002755595243948226
LDV,DLC,high,2030,new,0.02452073132529315,0.0032694308433724203
LDV,DLC,high,2035,new,0.04620981203732968,0.004620981203732968
LDV,DLC,high,2040,new,0.10397207708399174,0.00693147180559945
LDV,DLC,high,2045,new,0.27725887222397805,0.009241962407465934
LDV,DLC,high,2050,new,,0.014606755448912934
LDV,DLC,low,2025,new,0.00447787502690508,0.000335840627017881
LDV,DLC,low,2030,new,0.00447787502690508,0.000335840627017881
LDV,DLC,low,2035,new,0.00447787502690508,0.000335840627017881
LDV,DLC,low,2040,new,0.00447787502690508,0.000335840627017881
LDV,DLC,low,2045,new,0.00447787502690508,0.000335840627017881
LDV,DLC,low,2050,new,0.00447787502690508,0.000335840627017881
LDV,DLC,mid,2025,new,0.009271454778308904,0.001545242463051484
LDV,DLC,mid,2030,new,0.013734325804593099,0.0022890543007655167
LDV,DLC,mid,2035,new,0.019487967253628717,0.0032479945422714527
LDV,DLC,mid,2040,new,0.027597269415792006,0.004599544902632001
LDV,DLC,mid,2045,new,0.04146021302699092,0.0069100355044984865
LDV,DLC,mid,2050,new,0.12859438956078273,0.021432398260130457
LDV,RTP,flat,2025,new,0.008256904308115735,0.008256904308115735
LDV,RTP,flat,2030,new,0.012063978877940114,0.012063978877940114
LDV,RTP,flat,2035,new,0.016770260616629416,0.016770260616629416
LDV,RTP,flat,2040,new,0.022936287809719746,0.022936287809719746
LDV,RTP,flat,2045,new,0.03189678226025896,0.03189678226025896
LDV,RTP,flat,2050,new,0.04822437867993681,0.04822437867993681
LDV,RTP,high,2025,new,0.014322733975692881,0.014322733975692881
LDV,RTP,high,2030,new,0.020993766368795515,0.020993766368795515
LDV,RTP,high,2035,new,0.03817107681010008,0.03817107681010008
LDV,RTP,high,2040,new,0.07934825282910207,0.07934825282910207
LDV,RTP,high,2045,new,0.19123874570166696,0.19123874570166696
LDV,RTP,high,2050,new,,
LDV,RTP,low,2025,new,0.004031397307949701,0.004031397307949701
LDV,RTP,low,2030,new,0.004031397307949701,0.004031397307949701
LDV,RTP,low,2035,new,0.004031397307949701,0.004031397307949701
LDV,RTP,low,2040,new,0.004031397307949701,0.004031397307949701
LDV,RTP,low,2045,new,0.004031397307949701,0.004031397307949701
LDV,RTP,low,2050,new,0.004031397307949701,0.004031397307949701
LDV,RTP,mid,2025,new,0.008256904308115735,0.008256904308115735
LDV,RTP,mid,2030,new,0.012063978877940114,0.012063978877940114
LDV,RTP,mid,2035,new,0.016770260616629416,0.016770260616629416
LDV,RTP,mid,2040,new,0.022936287809719746,0.022936287809719746
LDV,RTP,mid,2045,new,0.03189678226025896,0.03189678226025896
LDV,RTP,mid,2050,new,0.04822437867993681,0.04822437867993681
LDV,TOU,flat,2025,new,0.021072103131565257,
LDV,TOU,flat,2030,new,0.016676321787810203,
LDV,TOU,flat,2035,new,0.015592308293942387,
LDV,TOU,flat,2040,new,0.01906203596086498,
LDV,TOU,flat,2045,new,0.02107210313156528,
LDV,TOU,flat,2050,new,0.023869351526513226,
LDV,TOU,high,2025,new,0.002334716926162802,
LDV,TOU,high,2030,new,0.01984509387238382,
LDV,TOU,high,2035,new,0.01984509387238382,
LDV,TOU,high,2040,new,0.01984509387238382,
LDV,TOU,high,2045,new,0.01984509387238382,
LDV,TOU,high,2050,new,0.19845093872383818,
LDV,TOU,low,2025,new,0.022314355131420986,
LDV,TOU,low,2030,new,0.022314355131420986,
LDV,TOU,low,2035,new,0.022314355131420986,
LDV,TOU,low,2040,new,0.022314355131420986,
LDV,TOU,low,2045,new,0.022314355131420986,
LDV,TOU,low,2050,new,0.022314355131420986,
LDV,TOU,mid,2025,new,0.021072103131565257,
LDV,TOU,mid,2030,new,0.016676321787810203,
LDV,TOU,mid,2035,new,0.015592308293942387,
LDV,TOU,mid,2040,new,0.01906203596086498,
LDV,TOU,mid,2045,new,0.02107210313156528,
LDV,TOU,mid,2050,new,0.023869351526513226,
LDV,DLC,flat,2025,recurring,0.009271454778308904,
LDV,DLC,flat,2030,recurring,0.013734325804593099,
LDV,DLC,flat,2035,recurring,0.019487967253628717,
LDV,DLC,flat,2040,recurring,0.027597269415792006,
LDV,DLC,flat,2045,recurring,0.04146021302699092,
LDV,DLC,flat,2050,recurring,0.12859438956078273,
LDV,DLC,high,2025,recurring,0.016533571463689358,
LDV,DLC,high,2030,recurring,0.02452073132529315,
LDV,DLC,high,2035,recurring,0.04620981203732968,
LDV,DLC,high,2040,recurring,0.10397207708399174,
LDV,DLC,high,2045,recurring,0.27725887222397805,
LDV,DLC,high,2050,recurring,,
LDV,DLC,low,2025,recurring,0.00447787502690508,
LDV,DLC,low,2030,recurring,0.00447787502690508,
LDV,DLC,low,2035,recurring,0.00447787502690508,
LDV,DLC,low,2040,recurring,0.00447787502690508,
LDV,DLC,low,2045,recurring,0.00447787502690508,
LDV,DLC,low,2050,recurring,0.00447787502690508,
LDV,DLC,mid,2025,recurring,0.009271454778308904,
LDV,DLC,mid,2030,recurring,0.013734325804593099,
LDV,DLC,mid,2035,recurring,0.019487967253628717,
LDV,DLC,mid,2040,recurring,0.027597269415792006,
LDV,DLC,mid,2045,recurring,0.04146021302699092,
LDV,DLC,mid,2050,recurring,0.12859438956078273,
LDV,RTP,flat,2025,recurring,0.008256904308115735,
LDV,RTP,flat,2030,recurring,0.012063978877940114,
LDV,RTP,flat,2035,recurring,0.016770260616629416,
LDV,RTP,flat,2040,recurring,0.022936287809719746,
LDV,RTP,flat,2045,recurring,0.03189678226025896,
LDV,RTP,flat,2050,recurring,0.04822437867993681,
LDV,RTP,high,2025,recurring,0.014322733975692881,
LDV,RTP,high,2030,recurring,0.020993766368795515,
LDV,RTP,high,2035,recurring,0.03817107681010008,
LDV,RTP,high,2040,recurring,0.07934825282910207,
LDV,RTP,high,2045,recurring,0.19123874570166696,
LDV,RTP,high,2050,recurring,,
LDV,RTP,low,2025,recurring,0.004031397307949701,
LDV,RTP,low,2030,recurring,0.004031397307949701,
LDV,RTP,low,2035,recurring,0.004031397307949701,
LDV,RTP,low,2040,recurring,0.004031397307949701,
LDV,RTP,low,2045,recurring,0.004031397307949701,
LDV,RTP,low,2050,recurring,0.004031397307949701,
LDV,RTP,mid,2025,recurring,0.008256904308115735,
LDV,RTP,mid,2030,recurring,0.012063978877940114,
LDV,RTP,mid,2035,recurring,0.016770260616629416,
LDV,RTP,mid,2040,recurring,0.022936287809719746,
LDV,RTP,mid,2045,recurring,0.03189678226025896,
LDV,RTP,mid,2050,recurring,0.04822437867993681,
LDV,TOU,flat,2025,recurring,0.021072103131565257,
LDV,TOU,flat,2030,recurring,0.016676321787810203,
LDV,TOU,flat,2035,recurring,0.015592308293942387,
LDV,TOU,flat,2040,recurring,0.01906203596086498,
LDV,TOU,flat,2045,recurring,0.02107210313156528,
LDV,TOU,flat,2050,recurring,0.023869351526513226,
LDV,TOU,high,2025,recurring,0.002334716926162802,
LDV,TOU,high,2030,recurring,0.01984509387238382,
LDV,TOU,high,2035,recurring,0.01984509387238382,
LDV,TOU,high,2040,recurring,0.01984509387238382,
LDV,TOU,high,2045,recurring,0.01984509387238382,
LDV,TOU,high,2050,recurring,0.19845093872383818,
LDV,TOU,low,2025,recurring,0.022314355131420986,
LDV,TOU,low,2030,recurring,0.022314355131420986,
LDV,TOU,low,2035,recurring,0.022314355131420986,
LDV,TOU,low,2040,recurring,0.022314355131420986,
LDV,TOU,low,2045,recurring,0.022314355131420986,
LDV,TOU,low,2050,recurring,0.022314355131420986,
LDV,TOU,mid,2025,recurring,0.021072103131565257,
LDV,TOU,mid,2030,recurring,0.016676321787810203,
LDV,TOU,mid,2035,recurring,0.015592308293942387,
LDV,TOU,mid,2040,recurring,0.01906203596086498,
LDV,TOU,mid,2045,recurring,0.02107210313156528,
LDV,TOU,mid,2050,recurring,0.023869351526513226,
MHDV,DLC,flat,2025,new,0.0005150808210171613,0.0005150808210171613
MHDV,DLC,flat,2030,new,0.0007630181002551722,0.0007630181002551722
MHDV,DLC,flat,2035,new,0.0010826648474238176,0.0010826648474238176
MHDV,DLC,flat,2040,new,0.001533181634210667,0.001533181634210667
MHDV,DLC,flat,2045,new,0.002303345168166162,0.002303345168166162
MHDV,DLC,flat,2050,new,0.0071441327533768185,0.0071441327533768185
MHDV,DLC,mid,2025,new,0.0009271454778308903,0.0009271454778308903
MHDV,DLC,mid,2030,new,0.00137343258045931,0.00137343258045931
MHDV,DLC,mid,2035,new,0.0019487967253628718,0.0019487967253628718
MHDV,DLC,mid,2040,new,0.0027597269415792006,0.0027597269415792006
MHDV,DLC,mid,2045,new,0.004146021302699092,0.004146021302699092
MHDV,DLC,mid,2050,new,0.012859438956078273,0.012859438956078273
MHDV,DLC,low,2025,new,0.00024877083482805997,0.00024877083482805997
MHDV,DLC,low,2030,new,0.00024877083482805997,0.00024877083482805997
MHDV,DLC,low,2035,new,0.00024877083482805997,0.00024877083482805997
MHDV,DLC,low,2040,new,0.00024877083482805997,0.00024877083482805997
MHDV,DLC,low,2045,new,0.00024877083482805997,0.00024877083482805997
MHDV,DLC,low,2050,new,0.00024877083482805997,0.00024877083482805997
MHDV,DLC,high,2025,new,0.005511190487896452,0.005511190487896452
MHDV,DLC,high,2030,new,0.00817357710843105,0.00817357710843105
MHDV,DLC,high,2035,new,0.015403270679109893,0.015403270679109893
MHDV,DLC,high,2040,new,0.03465735902799725,0.03465735902799725
MHDV,DLC,high,2045,new,0.09241962407465934,0.09241962407465934
MHDV,DLC,high,2050,new,,
MHDV,RTP,flat,2025,new,0.0004587169060064298,0.0004587169060064298
MHDV,RTP,flat,2030,new,0.0006702210487744508,0.0006702210487744508
MHDV,RTP,flat,2035,new,0.0009316811453683009,0.0009316811453683009
MHDV,RTP,flat,2040,new,0.001274238211651097,0.001274238211651097
MHDV,RTP,flat,2045,new,0.0017720434589032752,0.0017720434589032752
MHDV,RTP,flat,2050,new,0.002679132148885378,0.002679132148885378
MHDV,RTP,mid,2025,new,0.0008256904308115736,0.0008256904308115736
MHDV,RTP,mid,2030,new,0.0012063978877940114,0.0012063978877940114
MHDV,RTP,mid,2035,new,0.0016770260616629415,0.0016770260616629415
MHDV,RTP,mid,2040,new,0.002293628780971975,0.002293628780971975
MHDV,RTP,mid,2045,new,0.0031896782260258955,0.0031896782260258955
MHDV,RTP,mid,2050,new,0.00482243786799368,0.00482243786799368
MHDV,RTP,low,2025,new,0.00022396651710831673,0.00022396651710831673
MHDV,RTP,low,2030,new,0.00022396651710831673,0.00022396651710831673
MHDV,RTP,low,2035,new,0.00022396651710831673,0.00022396651710831673
MHDV,RTP,low,2040,new,0.00022396651710831673,0.00022396651710831673
MHDV,RTP,low,2045,new,0.00022396651710831673,0.00022396651710831673
MHDV,RTP,low,2050,new,0.00022396651710831673,0.00022396651710831673
MHDV,RTP,high,2025,new,0.004774244658564294,0.004774244658564294
MHDV,RTP,high,2030,new,0.0069979221229318385,0.0069979221229318385
MHDV,RTP,high,2035,new,0.01272369227003336,0.01272369227003336
MHDV,RTP,high,2040,new,0.026449417609700692,0.026449417609700692
MHDV,RTP,high,2045,new,0.06374624856722232,0.06374624856722232
MHDV,RTP,high,2050,new,,
MHDV,TOU,flat,2025,new,0.00024793727923801096,0.00024793727923801096
MHDV,TOU,flat,2030,new,0.00014203707945542764,0.00014203707945542764
MHDV,TOU,flat,2035,new,0.00011706723961980698,0.00011706723961980698
MHDV,TOU,flat,2040,new,0.00010590019978258322,0.00010590019978258322
MHDV,TOU,flat,2045,new,0.00011706723961980712,0.00011706723961980712
MHDV,TOU,flat,2050,new,0.00013260750848062902,0.00013260750848062902
MHDV,TOU,high,2025,new,0.0013230062581589212,0.0013230062581589212
MHDV,TOU,high,2030,new,0.0016537578226986514,0.0016537578226986514
MHDV,TOU,high,2035,new,0.0022050104302648687,0.0022050104302648687
MHDV,TOU,high,2040,new,0.003307515645397303,0.003307515645397303
MHDV,TOU,high,2045,new,0.006615031290794606,0.006615031290794606
MHDV,TOU,high,2050,new,,
MHDV,TOU,low,2025,new,0.00012678610870125559,0.00012678610870125559
MHDV,TOU,low,2030,new,0.00012678610870125559,0.00012678610870125559
MHDV,TOU,low,2035,new,0.00012678610870125559,0.00012678610870125559
MHDV,TOU,low,2040,new,0.00012678610870125559,0.00012678610870125559
MHDV,TOU,low,2045,new,0.00012678610870125559,0.00012678610870125559
MHDV,TOU,low,2050,new,0.00012678610870125559,0.00012678610870125559
MHDV,TOU,mid,2025,new,0.00044628710262841967,0.00044628710262841967
MHDV,TOU,mid,2030,new,0.0002556667430197698,0.0002556667430197698
MHDV,TOU,mid,2035,new,0.00021072103131565258,0.00021072103131565258
MHDV,TOU,mid,2040,new,0.00019062035960864978,0.00019062035960864978
MHDV,TOU,mid,2045,new,0.00021072103131565282,0.00021072103131565282
MHDV,TOU,mid,2050,new,0.00023869351526513224,0.00023869351526513224
MHDV,DLC,flat,2025,recurring,0.0005150808210171613,
MHDV,DLC,flat,2030,recurring,0.0007630181002551722,
MHDV,DLC,flat,2035,recurring,0.0010826648474238176,
MHDV,DLC,flat,2040,recurring,0.001533181634210667,
MHDV,DLC,flat,2045,recurring,0.002303345168166162,
MHDV,DLC,flat,2050,recurring,0.0071441327533768185,
MHDV,DLC,mid,2025,recurring,0.0009271454778308903,
MHDV,DLC,mid,2030,recurring,0.00137343258045931,
MHDV,DLC,mid,2035,recurring,0.0019487967253628718,
MHDV,DLC,mid,2040,recurring,0.0027597269415792006,
MHDV,DLC,mid,2045,recurring,0.004146021302699092,
MHDV,DLC,mid,2050,recurring,0.012859438956078273,
MHDV,DLC,low,2025,recurring,0.00024877083482805997,
MHDV,DLC,low,2030,recurring,0.00024877083482805997,
MHDV,DLC,low,2035,recurring,0.00024877083482805997,
MHDV,DLC,low,2040,recurring,0.00024877083482805997,
MHDV,DLC,low,2045,recurring,0.00024877083482805997,
MHDV,DLC,low,2050,recurring,0.00024877083482805997,
MHDV,DLC,high,2025,recurring,0.005511190487896452,
MHDV,DLC,high,2030,recurring,0.00817357710843105,
MHDV,DLC,high,2035,recurring,0.015403270679109893,
MHDV,DLC,high,2040,recurring,0.03465735902799725,
MHDV,DLC,high,2045,recurring,0.09241962407465934,
MHDV,DLC,high,2050,recurring,,
MHDV,RTP,flat,2025,recurring,0.0004587169060064298,
MHDV,RTP,flat,2030,recurring,0.0006702210487744508,
MHDV,RTP,flat,2035,recurring,0.0009316811453683009,
MHDV,RTP,flat,2040,recurring,0.001274238211651097,
MHDV,RTP,flat,2045,recurring,0.0017720434589032752,
MHDV,RTP,flat,2050,recurring,0.002679132148885378,
MHDV,RTP,mid,2025,recurring,0.0008256904308115736,
MHDV,RTP,mid,2030,recurring,0.0012063978877940114,
MHDV,RTP,mid,2035,recurring,0.0016770260616629415,
MHDV,RTP,mid,2040,recurring,0.002293628780971975,
MHDV,RTP,mid,2045,recurring,0.0031896782260258955,
MHDV,RTP,mid,2050,recurring,0.00482243786799368,
MHDV,RTP,low,2025,recurring,0.00022396651710831673,
MHDV,RTP,low,2030,recurring,0.00022396651710831673,
MHDV,RTP,low,2035,recurring,0.00022396651710831673,
MHDV,RTP,low,2040,recurring,0.00022396651710831673,
MHDV,RTP,low,2045,recurring,0.00022396651710831673,
MHDV,RTP,low,2050,recurring,0.00022396651710831673,
MHDV,RTP,high,2025,recurring,0.004774244658564294,
MHDV,RTP,high,2030,recurring,0.0069979221229318385,
MHDV,RTP,high,2035,recurring,0.01272369227003336,
MHDV,RTP,high,2040,recurring,0.026449417609700692,
MHDV,RTP,high,2045,recurring,0.06374624856722232,
MHDV,RTP,high,2050,recurring,,
MHDV,TOU,flat,2025,recurring,0.00024793727923801096,
MHDV,TOU,flat,2030,recurring,0.00014203707945542764,
MHDV,TOU,flat,2035,recurring,0.00011706723961980698,
MHDV,TOU,flat,2040,recurring,0.00010590019978258322,
MHDV,TOU,flat,2045,recurring,0.00011706723961980712,
MHDV,TOU,flat,2050,recurring,0.00013260750848062902,
MHDV,TOU,high,2025,recurring,0.0013230062581589212,
MHDV,TOU,high,2030,recurring,0.0016537578226986514,
MHDV,TOU,high,2035,recurring,0.0022050104302648687,
MHDV,TOU,high,2040,recurring,0.003307515645397303,
MHDV,TOU,high,2045,recurring,0.006615031290794606,
MHDV,TOU,high,2050,recurring,,
MHDV,TOU,low,2025,recurring,0.00012678610870125559,
MHDV,TOU,low,2030,recurring,0.00012678610870125559,
MHDV,TOU,low,2035,recurring,0.00012678610870125559,
MHDV,TOU,low,2040,recurring,0.00012678610870125559,
MHDV,TOU,low,2045,recurring,0.00012678610870125559,
MHDV,TOU,low,2050,recurring,0.00012678610870125559,
MHDV,TOU,mid,2025,recurring,0.00044628710262841967,
MHDV,TOU,mid,2030,recurring,0.0002556667430197698,
MHDV,TOU,mid,2035,recurring,0.00021072103131565258,
MHDV,TOU,mid,2040,recurring,0.00019062035960864978,
MHDV,TOU,mid,2045,recurring,0.00021072103131565282,
MHDV,TOU,mid,2050,recurring,0.00023869351526513224,
